go_id	name	namespace	study_k	study_n	bg_K	bg_N	fold_enrichment	p_value	fdr	phenotype	genes
GO:0050953	sensory perception of light stimulus	biological_process	39	2834	191	34266	2.47	1.146e-07	2.016e-04		LOC120031912,LOC120032724,LOC120033198,LOC120033765,LOC120044727,LOC120045822,LOC120046977,LOC120047441,LOC120050552,LOC120050554,LOC120050558,LOC120050857,LOC120050858,LOC120050859,LOC120051753,LOC120053171,LOC120053182,LOC120057055,LOC120057918,LOC120057919,LOC120057920,LOC120057921,LOC120057922,LOC120057923,LOC120057924
GO:0007601	visual perception	biological_process	38	2834	186	34266	2.47	1.631e-07	2.016e-04		LOC120031912,LOC120032724,LOC120033198,LOC120033765,LOC120045822,LOC120046977,LOC120047441,LOC120050552,LOC120050554,LOC120050558,LOC120050857,LOC120050858,LOC120050859,LOC120051753,LOC120053171,LOC120053182,LOC120057055,LOC120057918,LOC120057919,LOC120057920,LOC120057921,LOC120057922,LOC120057923,LOC120057924,LOC120058026
GO:0002088	lens development in camera-type eye	biological_process	26	2834	113	34266	2.78	1.370e-06	1.129e-03		LOC120032708,LOC120032724,LOC120045822,LOC120046977,LOC120047441,LOC120050552,LOC120050554,LOC120050558,LOC120050580,LOC120050584,LOC120050857,LOC120050858,LOC120050859,LOC120051753,LOC120057918,LOC120057919,LOC120057920,LOC120057921,LOC120057922,LOC120057923,LOC120057924,LOC120058026,LOC120058034,LOC120058036,LOC120058037
GO:0005212	structural constituent of eye lens	molecular_function	26	2834	118	34266	2.66	3.246e-06	2.007e-03		LOC120030837,LOC120032724,LOC120045822,LOC120046977,LOC120047441,LOC120050552,LOC120050554,LOC120050558,LOC120050580,LOC120050584,LOC120050857,LOC120050858,LOC120050859,LOC120051753,LOC120057918,LOC120057919,LOC120057920,LOC120057921,LOC120057922,LOC120057923,LOC120057924,LOC120058026,LOC120058034,LOC120058036,LOC120058037
GO:0043010	camera-type eye development	biological_process	27	2834	129	34266	2.53	5.932e-06	2.934e-03		LOC120018062,LOC120032708,LOC120032724,LOC120045822,LOC120046977,LOC120047441,LOC120050552,LOC120050554,LOC120050558,LOC120050580,LOC120050584,LOC120050857,LOC120050858,LOC120050859,LOC120051753,LOC120057918,LOC120057919,LOC120057920,LOC120057921,LOC120057922,LOC120057923,LOC120057924,LOC120058026,LOC120058034,LOC120058036
GO:0007600	sensory perception	biological_process	41	2834	269	34266	1.84	1.055e-04	3.496e-02		LOC120021069,LOC120031912,LOC120032724,LOC120033198,LOC120033765,LOC120044727,LOC120045822,LOC120046977,LOC120047441,LOC120050552,LOC120050554,LOC120050558,LOC120050857,LOC120050858,LOC120050859,LOC120051753,LOC120053171,LOC120053182,LOC120057055,LOC120057918,LOC120057919,LOC120057920,LOC120057921,LOC120057922,LOC120057923
GO:0001654	eye development	biological_process	28	2834	161	34266	2.1	1.364e-04	3.496e-02		LOC120018062,LOC120032708,LOC120032724,LOC120033014,LOC120045822,LOC120046977,LOC120047441,LOC120050552,LOC120050554,LOC120050558,LOC120050580,LOC120050584,LOC120050857,LOC120050858,LOC120050859,LOC120051753,LOC120057918,LOC120057919,LOC120057920,LOC120057921,LOC120057922,LOC120057923,LOC120057924,LOC120058026,LOC120058034
GO:0150063	visual system development	biological_process	28	2834	161	34266	2.1	1.364e-04	3.496e-02		LOC120018062,LOC120032708,LOC120032724,LOC120033014,LOC120045822,LOC120046977,LOC120047441,LOC120050552,LOC120050554,LOC120050558,LOC120050580,LOC120050584,LOC120050857,LOC120050858,LOC120050859,LOC120051753,LOC120057918,LOC120057919,LOC120057920,LOC120057921,LOC120057922,LOC120057923,LOC120057924,LOC120058026,LOC120058034
GO:0048880	sensory system development	biological_process	28	2834	161	34266	2.1	1.364e-04	3.496e-02		LOC120018062,LOC120032708,LOC120032724,LOC120033014,LOC120045822,LOC120046977,LOC120047441,LOC120050552,LOC120050554,LOC120050558,LOC120050580,LOC120050584,LOC120050857,LOC120050858,LOC120050859,LOC120051753,LOC120057918,LOC120057919,LOC120057920,LOC120057921,LOC120057922,LOC120057923,LOC120057924,LOC120058026,LOC120058034
GO:0001750	photoreceptor outer segment	cellular_component	14	2834	56	34266	3.02	1.414e-04	3.496e-02		LOC120021069,LOC120031912,LOC120033198,LOC120033765,LOC120053171,LOC120053182,LOC120057055,LOC120065317,LOC120065318,LOC120065319,LOC120065320,LOC120065321,pde6gb,rrh
