go_id	name	namespace	study_k	study_n	bg_K	bg_N	fold_enrichment	p_value	fdr	phenotype	genes
GO:0001817	regulation of cytokine production	biological_process	25	2593	129	31285	2.34	5.223e-05	1.269e-01		LOC120018777,LOC120018853,LOC120019052,LOC120019509,LOC120020561,LOC120023423,LOC120033484,LOC120033487,LOC120033652,LOC120034797,LOC120035241,LOC120035388,LOC120038321,LOC120039788,LOC120040411,LOC120040917,LOC120042248,LOC120042491,LOC120043723,LOC120049292,LOC120055336,LOC120058342,LOC120059053,LOC120059075,si:ch211-243a20.4
GO:0016607	nuclear speck	cellular_component	13	2593	54	31285	2.9	3.689e-04	2.288e-01		LOC120022349,LOC120032798,LOC120033139,LOC120034312,LOC120044542,LOC120046489,LOC120049663,LOC120050036,LOC120050082,LOC120052681,LOC120061449,LOC120065315,si:dkey-38n4.2
GO:0009266	response to temperature stimulus	biological_process	11	2593	42	31285	3.16	4.750e-04	2.288e-01	Y	LOC120025161,LOC120026056,LOC120026418,LOC120032522,LOC120032670,LOC120034531,LOC120034793,LOC120034803,LOC120045029,LOC120050580,LOC120050584
GO:0071345	cellular response to cytokine stimulus	biological_process	28	2593	173	31285	1.95	4.789e-04	2.288e-01		LOC120019104,LOC120021774,LOC120024931,LOC120032458,LOC120033051,LOC120033139,LOC120033459,LOC120034058,LOC120034187,LOC120034531,LOC120036493,LOC120036644,LOC120037605,LOC120040917,LOC120042248,LOC120042872,LOC120044239,LOC120044547,LOC120046320,LOC120047732,LOC120048594,LOC120048804,LOC120051492,LOC120055680,LOC120055743
GO:0015074	DNA integration	biological_process	8	2593	24	31285	4.02	4.831e-04	2.288e-01		LOC120023084,LOC120023350,LOC120034293,LOC120035894,LOC120042583,LOC120043847,LOC120051748,LOC120056766
GO:0004252	serine-type endopeptidase activity	molecular_function	30	2593	192	31285	1.89	5.650e-04	2.288e-01		LOC120019724,LOC120020733,LOC120023029,LOC120028920,LOC120030664,LOC120031510,LOC120032435,LOC120032926,LOC120032927,LOC120034415,LOC120036772,LOC120037787,LOC120037855,LOC120038018,LOC120039840,LOC120043941,LOC120046358,LOC120046748,LOC120047283,LOC120047639,LOC120050096,LOC120050120,LOC120051788,LOC120051789,LOC120052033
GO:0019221	cytokine-mediated signaling pathway	biological_process	26	2593	165	31285	1.9	1.120e-03	3.086e-01		LOC120019104,LOC120021774,LOC120024931,LOC120032458,LOC120033051,LOC120033139,LOC120033459,LOC120034058,LOC120034187,LOC120034531,LOC120036493,LOC120036644,LOC120037605,LOC120042872,LOC120044239,LOC120044547,LOC120046320,LOC120047732,LOC120048594,LOC120048804,LOC120051492,LOC120055680,LOC120055743,LOC120057981,LOC120063433
GO:0009408	response to heat	biological_process	9	2593	33	31285	3.29	1.121e-03	3.086e-01		LOC120025161,LOC120026056,LOC120026418,LOC120032522,LOC120032670,LOC120034803,LOC120045029,LOC120050580,LOC120050584
GO:0045124	regulation of bone resorption	biological_process	4	2593	7	31285	6.89	1.343e-03	3.086e-01	Y	LOC120027902,LOC120032389,si:dkey-11p23.7,siglec15l
GO:0002682	regulation of immune system process	biological_process	48	2593	372	31285	1.56	1.502e-03	3.086e-01	Y	LOC120018853,LOC120019052,LOC120019509,LOC120020561,LOC120022426,LOC120022634,LOC120023423,LOC120024201,LOC120027678,LOC120031042,LOC120032389,LOC120033484,LOC120033487,LOC120033652,LOC120034797,LOC120035059,LOC120035113,LOC120035241,LOC120035388,LOC120036644,LOC120038321,LOC120039788,LOC120040411,LOC120040917,LOC120042248
GO:0034097	response to cytokine	biological_process	29	2593	195	31285	1.79	1.524e-03	3.086e-01		LOC120019104,LOC120021774,LOC120024931,LOC120027902,LOC120032458,LOC120033051,LOC120033139,LOC120033459,LOC120034058,LOC120034187,LOC120034531,LOC120036493,LOC120036644,LOC120037605,LOC120040917,LOC120042248,LOC120042872,LOC120044239,LOC120044547,LOC120046320,LOC120047732,LOC120048594,LOC120048804,LOC120051492,LOC120055680
GO:1901652	response to peptide	biological_process	29	2593	195	31285	1.79	1.524e-03	3.086e-01		LOC120019104,LOC120021774,LOC120024931,LOC120027902,LOC120032458,LOC120033051,LOC120033139,LOC120033459,LOC120034058,LOC120034187,LOC120034531,LOC120036493,LOC120036644,LOC120037605,LOC120040917,LOC120042248,LOC120042872,LOC120044239,LOC120044547,LOC120046320,LOC120047732,LOC120048594,LOC120048804,LOC120051492,LOC120055680
GO:0140168	nuclear ribonucleoprotein granule	cellular_component	13	2593	63	31285	2.49	1.730e-03	3.234e-01		LOC120022349,LOC120032798,LOC120033139,LOC120034312,LOC120044542,LOC120046489,LOC120049663,LOC120050036,LOC120050082,LOC120052681,LOC120061449,LOC120065315,si:dkey-38n4.2
GO:0048477	oogenesis	biological_process	8	2593	29	31285	3.33	1.940e-03	3.367e-01		LOC120027918,LOC120027929,LOC120032709,LOC120041593,LOC120055371,LOC120058090,LOC120061992,zglp1
GO:0044183	protein folding chaperone	molecular_function	14	2593	72	31285	2.35	2.125e-03	3.443e-01		LOC120026056,LOC120026418,LOC120032162,LOC120032528,LOC120032593,LOC120032670,LOC120034057,LOC120034803,LOC120045029,LOC120050580,LOC120050584,LOC120058342,LOC120058343,trap1
GO:0051384	response to glucocorticoid	biological_process	5	2593	13	31285	4.64	2.845e-03	3.639e-01		LOC120028089,LOC120030016,LOC120049205,LOC120051050,pck1
GO:0031960	response to corticosteroid	biological_process	5	2593	13	31285	4.64	2.845e-03	3.639e-01		LOC120028089,LOC120030016,LOC120049205,LOC120051050,pck1
