go_id	name	namespace	study_k	study_n	bg_K	bg_N	fold_enrichment	p_value	fdr	phenotype	genes
GO:0032869	cellular response to insulin stimulus	biological_process	3	65	65	34266	24.33	2.616e-04	1.631e-02		LOC120022070,LOC120028089,cracr2b
GO:0032868	response to insulin	biological_process	3	65	75	34266	21.09	3.990e-04	1.631e-02		LOC120022070,LOC120028089,cracr2b
GO:1901699	cellular response to nitrogen compound	biological_process	4	65	194	34266	10.87	5.149e-04	1.631e-02		LOC120022070,LOC120028089,LOC120060868,cracr2b
GO:1901698	response to nitrogen compound	biological_process	4	65	241	34266	8.75	1.154e-03	2.497e-02		LOC120022070,LOC120028089,LOC120060868,cracr2b
GO:0071375	cellular response to peptide hormone stimulus	biological_process	3	65	113	34266	14.0	1.314e-03	2.497e-02		LOC120022070,LOC120028089,cracr2b
GO:0043434	response to peptide hormone	biological_process	3	65	135	34266	11.71	2.185e-03	3.460e-02		LOC120022070,LOC120028089,cracr2b
GO:1901701	cellular response to oxygen-containing compound	biological_process	4	65	310	34266	6.8	2.883e-03	3.913e-02	Y	LOC120022070,LOC120028089,LOC120060868,cracr2b
GO:0008081	phosphoric diester hydrolase activity	molecular_function	3	65	163	34266	9.7	3.719e-03	4.416e-02		LOC120024897,LOC120053718,gde1
GO:0009101	glycoprotein biosynthetic process	biological_process	3	65	181	34266	8.74	4.980e-03	5.256e-02		LOC120048047,LOC120049548,LOC120055734
GO:1901700	response to oxygen-containing compound	biological_process	4	65	379	34266	5.56	5.867e-03	5.574e-02	Y	LOC120022070,LOC120028089,LOC120060868,cracr2b
GO:0009100	glycoprotein metabolic process	biological_process	3	65	213	34266	7.42	7.794e-03	6.731e-02		LOC120048047,LOC120049548,LOC120055734
GO:0032870	cellular response to hormone stimulus	biological_process	3	65	239	34266	6.62	1.065e-02	8.432e-02		LOC120022070,LOC120028089,cracr2b
GO:0009725	response to hormone	biological_process	3	65	266	34266	5.95	1.418e-02	9.923e-02		LOC120022070,LOC120028089,cracr2b
GO:0006325	chromatin organization	biological_process	3	65	270	34266	5.86	1.476e-02	9.923e-02		LOC120019149,LOC120050135,pphln1
GO:0071495	cellular response to endogenous stimulus	biological_process	4	65	506	34266	4.17	1.567e-02	9.923e-02		LOC120022070,LOC120028089,LOC120053194,cracr2b
GO:0120025	plasma membrane bounded cell projection	cellular_component	7	65	1427	34266	2.59	1.822e-02	9.931e-02		LOC120031305,LOC120053194,LOC120053598,LOC120066718,cracr2b,sh3yl1,ttll9
GO:0009719	response to endogenous stimulus	biological_process	4	65	533	34266	3.96	1.859e-02	9.931e-02		LOC120022070,LOC120028089,LOC120053194,cracr2b
GO:0051049	regulation of transport	biological_process	4	65	535	34266	3.94	1.882e-02	9.931e-02		LOC120024458,LOC120030672,LOC120034415,cracr2b
GO:0042995	cell projection	cellular_component	7	65	1467	34266	2.52	2.086e-02	1.043e-01		LOC120031305,LOC120053194,LOC120053598,LOC120066718,cracr2b,sh3yl1,ttll9
GO:0045937	positive regulation of phosphate metabolic process	biological_process	3	65	329	34266	4.81	2.473e-02	1.119e-01		LOC120053194,ptprc,sh2d3a
GO:0042327	positive regulation of phosphorylation	biological_process	3	65	329	34266	4.81	2.473e-02	1.119e-01		LOC120053194,ptprc,sh2d3a
GO:0032879	regulation of localization	biological_process	4	65	595	34266	3.54	2.651e-02	1.145e-01		LOC120024458,LOC120030672,LOC120034415,cracr2b
GO:0070887	cellular response to chemical stimulus	biological_process	4	65	630	34266	3.35	3.176e-02	1.312e-01		LOC120022070,LOC120028089,LOC120060868,cracr2b
GO:0098609	cell-cell adhesion	biological_process	4	65	663	34266	3.18	3.723e-02	1.403e-01		LOC120025537,LOC120054371,LOC120056781,LOC120066463
GO:0008270	zinc ion binding	molecular_function	6	65	1311	34266	2.41	3.779e-02	1.403e-01		LOC120032728,LOC120038650,LOC120053938,LOC120065642,LOC120066682,cpn1
GO:0046914	transition metal ion binding	molecular_function	7	65	1670	34266	2.21	3.841e-02	1.403e-01		LOC120028089,LOC120032728,LOC120038650,LOC120053938,LOC120065642,LOC120066682,cpn1
GO:0042578	phosphoric ester hydrolase activity	molecular_function	4	65	683	34266	3.09	4.080e-02	1.435e-01		LOC120024897,LOC120053718,gde1,ptprc
GO:0051668	localization within membrane	biological_process	3	65	429	34266	3.69	4.816e-02	1.634e-01		LOC120060868,cracr2b,vps50
GO:0007017	microtubule-based process	biological_process	4	65	780	34266	2.7	6.077e-02	1.922e-01		LOC120032210,LOC120040161,dnah2,ttll9
GO:1901137	carbohydrate derivative biosynthetic process	biological_process	3	65	474	34266	3.34	6.128e-02	1.922e-01		LOC120048047,LOC120049548,LOC120055734
GO:1901135	carbohydrate derivative metabolic process	biological_process	4	65	792	34266	2.66	6.355e-02	1.922e-01		LOC120048047,LOC120049548,LOC120055734,gpia
GO:0050790	regulation of catalytic activity	biological_process	4	65	797	34266	2.65	6.473e-02	1.922e-01		LOC120040412,LOC120053194,asap1a,ptprc
GO:0042325	regulation of phosphorylation	biological_process	3	65	497	34266	3.18	6.856e-02	1.974e-01		LOC120053194,ptprc,sh2d3a
