go_id	name	namespace	study_k	study_n	bg_K	bg_N	fold_enrichment	p_value	fdr	phenotype	genes
GO:0032869	cellular response to insulin stimulus	biological_process	3	65	65	31285	22.21	3.410e-04	1.956e-02		LOC120022070,LOC120028089,cracr2b
GO:0032868	response to insulin	biological_process	3	65	75	31285	19.25	5.194e-04	1.956e-02		LOC120022070,LOC120028089,cracr2b
GO:1901699	cellular response to nitrogen compound	biological_process	4	65	184	31285	10.46	5.926e-04	1.956e-02		LOC120022070,LOC120028089,LOC120060868,cracr2b
GO:1901698	response to nitrogen compound	biological_process	4	65	224	31285	8.59	1.231e-03	2.962e-02		LOC120022070,LOC120028089,LOC120060868,cracr2b
GO:0071375	cellular response to peptide hormone stimulus	biological_process	3	65	108	31285	13.37	1.496e-03	2.962e-02		LOC120022070,LOC120028089,cracr2b
GO:0043434	response to peptide hormone	biological_process	3	65	126	31285	11.46	2.322e-03	3.832e-02		LOC120022070,LOC120028089,cracr2b
GO:1901701	cellular response to oxygen-containing compound	biological_process	4	65	286	31285	6.73	2.989e-03	4.228e-02	Y	LOC120022070,LOC120028089,LOC120060868,cracr2b
GO:0008081	phosphoric diester hydrolase activity	molecular_function	3	65	156	31285	9.26	4.237e-03	5.243e-02		LOC120024897,LOC120053718,gde1
GO:0009101	glycoprotein biosynthetic process	biological_process	3	65	176	31285	8.2	5.921e-03	6.038e-02		LOC120048047,LOC120049548,LOC120055734
GO:1901700	response to oxygen-containing compound	biological_process	4	65	350	31285	5.5	6.099e-03	6.038e-02	Y	LOC120022070,LOC120028089,LOC120060868,cracr2b
GO:0009100	glycoprotein metabolic process	biological_process	3	65	207	31285	6.98	9.229e-03	8.306e-02		LOC120048047,LOC120049548,LOC120055734
GO:0032870	cellular response to hormone stimulus	biological_process	3	65	226	31285	6.39	1.170e-02	9.649e-02		LOC120022070,LOC120028089,cracr2b
GO:0009725	response to hormone	biological_process	3	65	251	31285	5.75	1.547e-02	1.138e-01		LOC120022070,LOC120028089,cracr2b
GO:0071495	cellular response to endogenous stimulus	biological_process	4	65	476	31285	4.04	1.728e-02	1.138e-01		LOC120022070,LOC120028089,LOC120053194,cracr2b
GO:0006325	chromatin organization	biological_process	3	65	263	31285	5.49	1.750e-02	1.138e-01		LOC120019149,LOC120050135,pphln1
GO:0098609	cell-cell adhesion	biological_process	4	65	496	31285	3.88	1.977e-02	1.138e-01		LOC120025537,LOC120054371,LOC120056781,LOC120066463
GO:0009719	response to endogenous stimulus	biological_process	4	65	501	31285	3.84	2.042e-02	1.138e-01		LOC120022070,LOC120028089,LOC120053194,cracr2b
GO:0120025	plasma membrane bounded cell projection	cellular_component	7	65	1344	31285	2.51	2.120e-02	1.138e-01		LOC120043873,LOC120053194,LOC120053598,LOC120066718,cracr2b,sh3yl1,ttll9
GO:0051049	regulation of transport	biological_process	4	65	513	31285	3.75	2.205e-02	1.138e-01		LOC120024458,LOC120030672,LOC120034415,cracr2b
GO:0042995	cell projection	cellular_component	7	65	1384	31285	2.43	2.441e-02	1.138e-01		LOC120043873,LOC120053194,LOC120053598,LOC120066718,cracr2b,sh3yl1,ttll9
GO:0045937	positive regulation of phosphate metabolic process	biological_process	3	65	303	31285	4.77	2.528e-02	1.138e-01		LOC120053194,ptprc,sh2d3a
GO:0042327	positive regulation of phosphorylation	biological_process	3	65	303	31285	4.77	2.528e-02	1.138e-01		LOC120053194,ptprc,sh2d3a
GO:0032879	regulation of localization	biological_process	4	65	570	31285	3.38	3.085e-02	1.301e-01		LOC120024458,LOC120030672,LOC120034415,cracr2b
GO:0070887	cellular response to chemical stimulus	biological_process	4	65	574	31285	3.35	3.154e-02	1.301e-01		LOC120022070,LOC120028089,LOC120060868,cracr2b
GO:0046914	transition metal ion binding	molecular_function	7	65	1498	31285	2.25	3.540e-02	1.402e-01		LOC120028089,LOC120032728,LOC120038650,LOC120053938,LOC120065642,LOC120066682,cpn1
GO:0008270	zinc ion binding	molecular_function	6	65	1197	31285	2.41	3.778e-02	1.439e-01		LOC120032728,LOC120038650,LOC120053938,LOC120065642,LOC120066682,cpn1
GO:0007275	multicellular organism development	biological_process	8	65	1935	31285	1.99	4.648e-02	1.704e-01		LOC120025537,LOC120028089,LOC120040412,LOC120049548,LOC120053194,LOC120056781,LOC120060868,LOC120066463
GO:0042578	phosphoric ester hydrolase activity	molecular_function	4	65	661	31285	2.91	4.868e-02	1.721e-01		LOC120024897,LOC120053718,gde1,ptprc
GO:0051668	localization within membrane	biological_process	3	65	414	31285	3.49	5.508e-02	1.880e-01		LOC120060868,cracr2b,vps50
GO:0050790	regulation of catalytic activity	biological_process	4	65	736	31285	2.62	6.689e-02	2.072e-01		LOC120040412,LOC120053194,asap1a,ptprc
GO:0005509	calcium ion binding	molecular_function	5	65	1058	31285	2.27	6.874e-02	2.072e-01		LOC120025009,LOC120030672,LOC120049548,LOC120060868,cracr2b
