go_id	name	namespace	study_k	study_n	bg_K	bg_N	fold_enrichment	p_value	fdr	phenotype	genes
GO:0007601	visual perception	biological_process	30	1438	186	34266	3.84	2.517e-10	3.901e-07		LOC120031912,LOC120033198,LOC120045822,LOC120046977,LOC120047441,LOC120051753,LOC120053171,LOC120053182,LOC120057055,LOC120057918,LOC120057919,LOC120057920,LOC120057921,LOC120057922,LOC120057923,LOC120057924,LOC120058026,LOC120058034,LOC120058036,LOC120058037,LOC120062145,LOC120065317,LOC120065318,LOC120065319,LOC120065320
GO:0050953	sensory perception of light stimulus	biological_process	30	1438	191	34266	3.74	4.879e-10	3.901e-07		LOC120031912,LOC120033198,LOC120045822,LOC120046977,LOC120047441,LOC120051753,LOC120053171,LOC120053182,LOC120057055,LOC120057918,LOC120057919,LOC120057920,LOC120057921,LOC120057922,LOC120057923,LOC120057924,LOC120058026,LOC120058034,LOC120058036,LOC120058037,LOC120062145,LOC120065317,LOC120065318,LOC120065319,LOC120065320
GO:0000786	nucleosome	cellular_component	15	1438	71	34266	5.03	2.051e-07	1.093e-04		LOC120017851,LOC120017881,LOC120017900,LOC120017911,LOC120017932,LOC120017951,LOC120017972,LOC120018007,LOC120018041,LOC120018058,LOC120018068,LOC120021779,LOC120021806,LOC120037151,LOC120059566
GO:0007600	sensory perception	biological_process	31	1438	269	34266	2.75	4.098e-07	1.329e-04		LOC120021069,LOC120031912,LOC120033198,LOC120045822,LOC120046977,LOC120047441,LOC120051753,LOC120053171,LOC120053182,LOC120057055,LOC120057918,LOC120057919,LOC120057920,LOC120057921,LOC120057922,LOC120057923,LOC120057924,LOC120058026,LOC120058034,LOC120058036,LOC120058037,LOC120062145,LOC120065317,LOC120065318,LOC120065319
GO:0001750	photoreceptor outer segment	cellular_component	13	1438	56	34266	5.53	4.157e-07	1.329e-04		LOC120021069,LOC120031912,LOC120033198,LOC120053171,LOC120053182,LOC120057055,LOC120065317,LOC120065318,LOC120065319,LOC120065320,LOC120065321,pde6gb,rrh
GO:0097733	photoreceptor cell cilium	cellular_component	13	1438	59	34266	5.25	7.918e-07	2.110e-04		LOC120021069,LOC120031912,LOC120033198,LOC120053171,LOC120053182,LOC120057055,LOC120065317,LOC120065318,LOC120065319,LOC120065320,LOC120065321,pde6gb,rrh
GO:0097731	9+0 non-motile cilium	cellular_component	13	1438	60	34266	5.16	9.722e-07	2.221e-04		LOC120021069,LOC120031912,LOC120033198,LOC120053171,LOC120053182,LOC120057055,LOC120065317,LOC120065318,LOC120065319,LOC120065320,LOC120065321,pde6gb,rrh
GO:0097730	non-motile cilium	cellular_component	14	1438	74	34266	4.51	2.124e-06	4.233e-04		LOC120021069,LOC120031912,LOC120033198,LOC120053171,LOC120053182,LOC120057055,LOC120065317,LOC120065318,LOC120065319,LOC120065320,LOC120065321,pde6gb,rrh,wdr35
GO:0030527	structural constituent of chromatin	molecular_function	13	1438	65	34266	4.77	2.542e-06	4.233e-04		LOC120017851,LOC120017881,LOC120017900,LOC120017911,LOC120017932,LOC120017951,LOC120017972,LOC120018007,LOC120018041,LOC120018058,LOC120018068,LOC120037151,LOC120059566
GO:0048477	oogenesis	biological_process	10	1438	38	34266	6.27	2.647e-06	4.233e-04		LOC120023271,LOC120027918,LOC120027929,LOC120041593,LOC120055371,LOC120055374,LOC120055377,LOC120058090,LOC120061992,zglp1
GO:0007292	female gamete generation	biological_process	11	1438	49	34266	5.35	4.582e-06	6.660e-04		LOC120023271,LOC120027918,LOC120027929,LOC120041593,LOC120044003,LOC120055371,LOC120055374,LOC120055377,LOC120058090,LOC120061992,zglp1
GO:0002088	lens development in camera-type eye	biological_process	16	1438	113	34266	3.37	2.033e-05	2.709e-03		LOC120045822,LOC120046977,LOC120047441,LOC120051753,LOC120057918,LOC120057919,LOC120057920,LOC120057921,LOC120057922,LOC120057923,LOC120057924,LOC120058026,LOC120058034,LOC120058036,LOC120058037,zgc:153846
GO:0005212	structural constituent of eye lens	molecular_function	16	1438	118	34266	3.23	3.510e-05	4.317e-03		LOC120045822,LOC120046977,LOC120047441,LOC120051753,LOC120057918,LOC120057919,LOC120057920,LOC120057921,LOC120057922,LOC120057923,LOC120057924,LOC120058026,LOC120058034,LOC120058036,LOC120058037,zgc:153846
GO:0007156	homophilic cell-cell adhesion	biological_process	33	1438	368	34266	2.14	3.981e-05	4.442e-03		LOC120027654,LOC120047055,LOC120047056,LOC120047057,LOC120047058,LOC120047059,LOC120047060,LOC120047061,LOC120047062,LOC120047067,LOC120047068,LOC120047069,LOC120047823,LOC120047824,LOC120047825,LOC120047826,LOC120047827,LOC120047828,LOC120047829,LOC120047838,LOC120047894,LOC120047960,LOC120047970,LOC120047987,LOC120048016
GO:0015074	DNA integration	biological_process	7	1438	24	34266	6.95	4.167e-05	4.442e-03		LOC120023084,LOC120023350,LOC120035894,LOC120042583,LOC120043847,LOC120051748,LOC120056766
GO:1990266	neutrophil migration	biological_process	13	1438	86	34266	3.6	5.958e-05	5.747e-03		LOC120018521,LOC120019186,LOC120023649,LOC120023737,LOC120024745,LOC120025019,LOC120025372,LOC120037605,LOC120055680,LOC120055682,LOC120062814,LOC120062815,bdkrb1
GO:0006952	defense response	biological_process	37	1438	442	34266	1.99	6.110e-05	5.747e-03		LOC120024214,LOC120024745,LOC120025019,LOC120025372,LOC120034575,LOC120037605,LOC120039311,LOC120040917,LOC120041379,LOC120041384,LOC120042254,LOC120042337,LOC120044476,LOC120044479,LOC120044489,LOC120044490,LOC120044491,LOC120045355,LOC120049497,LOC120049759,LOC120049780,LOC120051327,LOC120055680,LOC120055682,LOC120057064
GO:0007602	phototransduction	biological_process	6	1438	18	34266	7.94	6.492e-05	5.767e-03		LOC120031912,LOC120065317,LOC120065318,LOC120065319,LOC120065320,LOC120065321
GO:0009583	detection of light stimulus	biological_process	6	1438	19	34266	7.52	9.151e-05	7.254e-03		LOC120031912,LOC120065317,LOC120065318,LOC120065319,LOC120065320,LOC120065321
GO:0097530	granulocyte migration	biological_process	13	1438	90	34266	3.44	9.635e-05	7.254e-03		LOC120018521,LOC120019186,LOC120023649,LOC120023737,LOC120024745,LOC120025019,LOC120025372,LOC120037605,LOC120055680,LOC120055682,LOC120062814,LOC120062815,bdkrb1
GO:0034612	response to tumor necrosis factor	biological_process	11	1438	67	34266	3.91	1.012e-04	7.254e-03		LOC120021774,LOC120024745,LOC120025019,LOC120025372,LOC120033051,LOC120040917,LOC120042254,LOC120042872,LOC120055680,LOC120055682,traf6
GO:0071356	cellular response to tumor necrosis factor	biological_process	11	1438	67	34266	3.91	1.012e-04	7.254e-03		LOC120021774,LOC120024745,LOC120025019,LOC120025372,LOC120033051,LOC120040917,LOC120042254,LOC120042872,LOC120055680,LOC120055682,traf6
GO:0043010	camera-type eye development	biological_process	16	1438	129	34266	2.96	1.043e-04	7.254e-03		LOC120045822,LOC120046977,LOC120047441,LOC120051753,LOC120057918,LOC120057919,LOC120057920,LOC120057921,LOC120057922,LOC120057923,LOC120057924,LOC120058026,LOC120058034,LOC120058036,LOC120058037,zgc:153846
GO:0005126	cytokine receptor binding	molecular_function	25	1438	261	34266	2.28	1.177e-04	7.842e-03		LOC120021774,LOC120023224,LOC120024745,LOC120025019,LOC120025372,LOC120033051,LOC120034575,LOC120037605,LOC120041379,LOC120041384,LOC120044239,LOC120044476,LOC120044479,LOC120044489,LOC120044490,LOC120044491,LOC120053888,LOC120055680,LOC120055682,LOC120055743,LOC120062709,LOC120062814,LOC120062815,si:ch211-158d24.4,traf6
GO:0032993	protein-DNA complex	cellular_component	16	1438	133	34266	2.87	1.499e-04	9.303e-03		LOC120017851,LOC120017881,LOC120017900,LOC120017911,LOC120017932,LOC120017951,LOC120017972,LOC120018007,LOC120018041,LOC120018058,LOC120018068,LOC120021779,LOC120021806,LOC120037151,LOC120059566,terfa
GO:0097529	myeloid leukocyte migration	biological_process	13	1438	94	34266	3.3	1.513e-04	9.303e-03		LOC120018521,LOC120019186,LOC120023649,LOC120023737,LOC120024745,LOC120025019,LOC120025372,LOC120037605,LOC120055680,LOC120055682,LOC120062814,LOC120062815,bdkrb1
GO:0005929	cilium	cellular_component	32	1438	381	34266	2.0	1.750e-04	1.001e-02		LOC120019717,LOC120021069,LOC120022770,LOC120023616,LOC120024223,LOC120025643,LOC120026473,LOC120031912,LOC120033198,LOC120039755,LOC120043934,LOC120048865,LOC120053171,LOC120053182,LOC120055337,LOC120057055,LOC120058709,LOC120065317,LOC120065318,LOC120065319,LOC120065320,LOC120065321,ccdc39,cfap20,fam161b
GO:0070555	response to interleukin-1	biological_process	9	1438	49	34266	4.38	1.774e-04	1.001e-02		LOC120024745,LOC120025019,LOC120025372,LOC120027902,LOC120040917,LOC120042254,LOC120055680,LOC120055682,traf6
GO:0006334	nucleosome assembly	biological_process	8	1438	39	34266	4.89	1.815e-04	1.001e-02		LOC120017851,LOC120017932,LOC120017951,LOC120018058,LOC120018068,LOC120021779,LOC120021806,LOC120059566
GO:0005198	structural molecule activity	molecular_function	63	1438	953	34266	1.58	2.835e-04	1.511e-02		LOC120017851,LOC120017881,LOC120017900,LOC120017911,LOC120017932,LOC120017951,LOC120017972,LOC120018007,LOC120018041,LOC120018058,LOC120018068,LOC120021126,LOC120022431,LOC120022811,LOC120022820,LOC120022826,LOC120022831,LOC120027508,LOC120028538,LOC120029767,LOC120029973,LOC120032718,LOC120033621,LOC120037151,LOC120040891
GO:0050699	WW domain binding	molecular_function	4	1438	9	34266	10.59	3.285e-04	1.694e-02		LOC120032191,LOC120032211,LOC120044396,LOC120044397
GO:0009605	response to external stimulus	biological_process	40	1438	535	34266	1.78	3.450e-04	1.724e-02		LOC120022429,LOC120023737,LOC120024214,LOC120024745,LOC120025019,LOC120025372,LOC120030262,LOC120031912,LOC120037605,LOC120039311,LOC120040917,LOC120041968,LOC120042254,LOC120042337,LOC120042990,LOC120045355,LOC120049517,LOC120049780,LOC120055596,LOC120055680,LOC120055682,LOC120058008,LOC120058484,LOC120058790,LOC120059053
GO:0071347	cellular response to interleukin-1	biological_process	8	1438	43	34266	4.43	3.686e-04	1.786e-02		LOC120024745,LOC120025019,LOC120025372,LOC120040917,LOC120042254,LOC120055680,LOC120055682,traf6
GO:0030593	neutrophil chemotaxis	biological_process	10	1438	69	34266	3.45	5.854e-04	2.753e-02		LOC120023737,LOC120024745,LOC120025019,LOC120025372,LOC120037605,LOC120055680,LOC120055682,LOC120062814,LOC120062815,bdkrb1
GO:0003356	regulation of cilium beat frequency	biological_process	3	1438	5	34266	14.3	6.920e-04	3.162e-02		LOC120022770,LOC120024223,cfap20
GO:0050877	nervous system process	biological_process	35	1438	472	34266	1.77	9.038e-04	3.771e-02		LOC120021069,LOC120031912,LOC120033198,LOC120045822,LOC120045894,LOC120046977,LOC120047441,LOC120051753,LOC120053171,LOC120053182,LOC120057055,LOC120057918,LOC120057919,LOC120057920,LOC120057921,LOC120057922,LOC120057923,LOC120057924,LOC120058026,LOC120058034,LOC120058036,LOC120058037,LOC120061883,LOC120062145,LOC120065317
