go_id	name	namespace	study_k	study_n	bg_K	bg_N	fold_enrichment	p_value	fdr	phenotype	genes
GO:0044092	negative regulation of molecular function	biological_process	4	920	192	34266	0.78	7.607e-01	9.110e-01		LOC120031470,LOC120032517,LOC120044693,LOC120048363
GO:0043066	negative regulation of apoptotic process	biological_process	3	920	149	34266	0.75	7.666e-01	9.171e-01		LOC120031035,LOC120036154,LOC120039573
GO:0006790	sulfur compound metabolic process	biological_process	4	920	194	34266	0.77	7.677e-01	9.172e-01		LOC120028813,LOC120033928,LOC120034662,LOC120052371
GO:0006753	nucleoside phosphate metabolic process	biological_process	12	920	532	34266	0.84	7.687e-01	9.172e-01		LOC120028888,LOC120031336,LOC120031389,LOC120033928,LOC120034662,LOC120034978,LOC120036192,LOC120039945,LOC120046375,LOC120048719,LOC120051245,LOC120053338
GO:0009607	response to biotic stimulus	biological_process	7	920	324	34266	0.8	7.694e-01	9.172e-01		LOC120026096,LOC120039718,LOC120042734,LOC120044602,LOC120044603,LOC120047575,adam15
GO:0003006	developmental process involved in reproduction	biological_process	3	920	150	34266	0.74	7.705e-01	9.172e-01		LOC120042401,LOC120043638,lhcgr
GO:0045165	cell fate commitment	biological_process	3	920	150	34266	0.74	7.705e-01	9.172e-01		LOC120025342,LOC120043283,LOC120048721
GO:0051247	positive regulation of protein metabolic process	biological_process	9	920	409	34266	0.82	7.715e-01	9.176e-01		LOC120023180,LOC120031228,LOC120032526,LOC120034531,LOC120036154,LOC120039573,LOC120041291,LOC120042781,LOC120048342
GO:0035556	intracellular signal transduction	biological_process	35	920	1456	34266	0.9	7.736e-01	9.187e-01		LOC120030879,LOC120031076,LOC120031138,LOC120031336,LOC120031528,LOC120031644,LOC120033736,LOC120033924,LOC120034187,LOC120034286,LOC120034316,LOC120034442,LOC120034506,LOC120036171,LOC120036840,LOC120039710,LOC120039944,LOC120039945,LOC120041464,LOC120042035,LOC120042734,LOC120044041,LOC120044077,LOC120044712,LOC120048363
GO:0030674	protein-macromolecule adaptor activity	molecular_function	6	920	283	34266	0.79	7.740e-01	9.187e-01		LOC120024345,LOC120024704,LOC120047812,LOC120048708,LOC120065794,LOC120066791
GO:0043069	negative regulation of programmed cell death	biological_process	3	920	152	34266	0.74	7.781e-01	9.224e-01		LOC120031035,LOC120036154,LOC120039573
GO:0090066	regulation of anatomical structure size	biological_process	8	920	370	34266	0.81	7.789e-01	9.224e-01		LOC120029007,LOC120031890,LOC120032586,LOC120034600,LOC120036154,LOC120039573,LOC120041450,LOC120065853
GO:0006813	potassium ion transport	biological_process	7	920	328	34266	0.79	7.800e-01	9.224e-01	Y	LOC120029350,LOC120029915,LOC120030936,LOC120035028,LOC120039924,LOC120040197,LOC120056459
