[M::mm_idx_gen::53.814*1.37] collected minimizers
[M::mm_idx_gen::56.622*2.92] sorted minimizers
[M::main::56.622*2.92] loaded/built the index for 24184 target sequence(s)
[M::mm_mapopt_update::59.004*2.84] mid_occ = 500
[M::worker_pipeline::11827.636*39.13] mapped 63432 sequences
[M::worker_pipeline::11899.021*39.14] mapped 66468 sequences
[M::worker_pipeline::11983.801*39.12] mapped 69498 sequences
[M::worker_pipeline::12067.032*39.12] mapped 73160 sequences
[M::worker_pipeline::12162.339*39.13] mapped 78343 sequences
[M::worker_pipeline::12302.758*39.13] mapped 85590 sequences
[M::worker_pipeline::12644.383*39.15] mapped 83022 sequences
[M::worker_pipeline::12867.396*39.16] mapped 68795 sequences
[M::worker_pipeline::12919.852*39.17] mapped 67183 sequences
[M::worker_pipeline::12978.885*39.16] mapped 70146 sequences
[M::worker_pipeline::13052.440*39.17] mapped 73553 sequences
[M::worker_pipeline::13130.367*39.16] mapped 76948 sequences
[M::worker_pipeline::13214.430*39.16] mapped 81483 sequences
[M::worker_pipeline::13324.985*39.16] mapped 87842 sequences
[M::worker_pipeline::13522.318*39.17] mapped 95119 sequences
[M::worker_pipeline::13897.579*39.18] mapped 76737 sequences
[M::worker_pipeline::13955.955*39.18] mapped 64179 sequences
[M::worker_pipeline::14005.677*39.18] mapped 66807 sequences
[M::worker_pipeline::14080.918*39.17] mapped 69425 sequences
[M::worker_pipeline::14157.306*39.17] mapped 72693 sequences
[M::worker_pipeline::14239.877*39.17] mapped 76648 sequences
[M::worker_pipeline::14335.739*39.17] mapped 81485 sequences
[M::worker_pipeline::14476.179*39.17] mapped 88649 sequences
[M::worker_pipeline::14819.901*39.18] mapped 84451 sequences
[M::worker_pipeline::14979.687*39.19] mapped 19972 sequences
[M::worker_pipeline::15049.259*39.18] mapped 56345 sequences
[M::worker_pipeline::15108.487*39.18] mapped 59555 sequences
[M::worker_pipeline::15196.349*39.18] mapped 63954 sequences
[M::worker_pipeline::15293.737*39.17] mapped 68840 sequences
[M::worker_pipeline::15402.814*39.17] mapped 75802 sequences
[M::worker_pipeline::15531.374*39.17] mapped 84744 sequences
[M::worker_pipeline::15793.428*39.17] mapped 92013 sequences
[M::worker_pipeline::16180.805*39.18] mapped 75751 sequences
[M::worker_pipeline::16247.361*39.17] mapped 61368 sequences
[M::worker_pipeline::16307.696*39.16] mapped 63583 sequences
[M::worker_pipeline::16362.625*39.16] mapped 66275 sequences
[M::worker_pipeline::16439.132*39.17] mapped 69671 sequences
[M::worker_pipeline::16540.183*39.15] mapped 72759 sequences
[M::worker_pipeline::16633.265*39.14] mapped 75711 sequences
[M::worker_pipeline::16721.818*39.14] mapped 80061 sequences
[M::worker_pipeline::16823.501*39.14] mapped 85853 sequences
[M::worker_pipeline::16930.708*39.12] mapped 90643 sequences
[M::worker_pipeline::17062.721*39.13] mapped 98497 sequences
[M::worker_pipeline::17257.253*39.13] mapped 106585 sequences
[M::worker_pipeline::17564.468*39.14] mapped 92913 sequences
[M::worker_pipeline::17915.288*39.16] mapped 85329 sequences
[M::worker_pipeline::18098.097*39.16] mapped 69724 sequences
[M::worker_pipeline::18161.325*39.16] mapped 64167 sequences
[M::worker_pipeline::18212.575*39.16] mapped 70180 sequences
[M::worker_pipeline::18290.179*39.15] mapped 71641 sequences
[M::worker_pipeline::18376.089*39.15] mapped 75158 sequences
[M::worker_pipeline::18468.798*39.15] mapped 78043 sequences
[M::worker_pipeline::18556.799*39.14] mapped 82624 sequences
[M::worker_pipeline::18659.733*39.14] mapped 88322 sequences
[M::worker_pipeline::18756.599*39.14] mapped 93415 sequences
[M::worker_pipeline::18882.890*39.14] mapped 101701 sequences
[M::worker_pipeline::19066.239*39.15] mapped 110216 sequences
[M::worker_pipeline::19364.835*39.15] mapped 96387 sequences
[M::worker_pipeline::19703.639*39.17] mapped 88705 sequences
[M::worker_pipeline::19888.604*39.17] mapped 65286 sequences
[M::worker_pipeline::19950.248*39.17] mapped 58429 sequences
[M::worker_pipeline::20009.345*39.17] mapped 60461 sequences
[M::worker_pipeline::20073.390*39.17] mapped 62874 sequences
[M::worker_pipeline::20158.118*39.16] mapped 65584 sequences
[M::worker_pipeline::20255.604*39.16] mapped 68749 sequences
[M::worker_pipeline::20350.557*39.16] mapped 71016 sequences
[M::worker_pipeline::20451.502*39.16] mapped 75782 sequences
[M::worker_pipeline::20557.416*39.16] mapped 81445 sequences
[M::worker_pipeline::20683.758*39.15] mapped 85968 sequences
[M::worker_pipeline::20832.607*39.15] mapped 93778 sequences
[M::worker_pipeline::21065.935*39.16] mapped 99117 sequences
