Sample	Mean read length_fastq	Mean read quality_fastq	Median read length_fastq	Median read quality_fastq	Number of reads_fastq	Read length N50_fastq	STDEV read length_fastq	Total bases_fastq	>Q10_fastq	>Q15_fastq	>Q20_fastq	>Q25_fastq	>Q30_fastq
bc2041	7634.1	29.0	6516.0	38.8	3258991.0	8296.0	3938.0	24879406312.0	3258989.0	3258566.0	3154633.0	2901679.0	2599685.0
bc2068	4224.0	30.2	3778.0	39.8	3287622.0	4541.0	1909.2	13887000171.0	3287620.0	3287262.0	3211135.0	3027702.0	2784940.0
bc2069	6836.2	29.0	6046.0	38.9	1348642.0	7356.0	3124.0	9219541520.0	1348641.0	1348470.0	1304681.0	1206826.0	1086149.0
bc2070	6180.7	29.4	5499.0	39.2	3019621.0	6549.0	2705.7	18663483820.0	3019620.0	3019313.0	2928787.0	2725600.0	2473498.0
bc2071	6036.4	29.4	5349.0	39.3	3405966.0	6439.0	2705.2	20559935456.0	3405965.0	3405489.0	3308153.0	3078140.0	2798663.0
bc2072	6332.9	29.3	5599.0	39.2	2312287.0	6759.0	2889.9	14643512854.0	2312282.0	2311980.0	2242925.0	2078744.0	1880784.0
bc2073	6487.9	29.2	5693.0	39.1	3641315.0	6960.0	3071.7	23624544038.0	3641313.0	3640896.0	3525885.0	3272724.0	2958942.0
bc2096	6335.7	29.1	5216.0	38.8	5899468.0	7191.0	3780.3	37377010531.0	5899458.0	5898810.0	5719477.0	5275729.0	4717109.0
