Sample	Median length	Mean length	Read N50	Median Qual	Mean Qual	# Reads (K)	Total Bases (Mb)
bc2041	6516.0	7634.1	8296.0	38.8	29.0	3258.991	24879.406312
bc2068	3778.0	4224.0	4541.0	39.8	30.2	3287.622	13887.000171
bc2069	6046.0	6836.2	7356.0	38.9	29.0	1348.642	9219.541519999999
bc2070	5499.0	6180.7	6549.0	39.2	29.4	3019.621	18663.483819999998
bc2071	5349.0	6036.4	6439.0	39.3	29.4	3405.966	20559.935456
bc2072	5599.0	6332.9	6759.0	39.2	29.3	2312.2870000000003	14643.512853999999
bc2073	5693.0	6487.9	6960.0	39.1	29.2	3641.315	23624.544038
bc2096	5216.0	6335.7	7191.0	38.8	29.1	5899.468	37377.010531
