Sample	Reads >Q30	Reads Q25-30	Reads Q20-25	Reads Q15-20	Reads Q10-15	Reads <Q10
bc2041	2599685.0	301994.0	252954.0	103933.0	423.0	2.0
bc2068	2784940.0	242762.0	183433.0	76127.0	358.0	2.0
bc2069	1086149.0	120677.0	97855.0	43789.0	171.0	1.0
bc2070	2473498.0	252102.0	203187.0	90526.0	307.0	1.0
bc2071	2798663.0	279477.0	230013.0	97336.0	476.0	1.0
bc2072	1880784.0	197960.0	164181.0	69055.0	302.0	5.0
bc2073	2958942.0	313782.0	253161.0	115011.0	417.0	2.0
bc2096	4717109.0	558620.0	443748.0	179333.0	648.0	10.0
