ID ,1X,1Y,2X,2Y,3X,3Y,4X,4Y,5X,5Y,6X,6Y,7X,7Y,8X,8Y,9X,9Y,10X,10Y,11X,11Y,12X,12Y,13X,13Y,14X,14Y,15X,15Y,16X,16Y,17X,17Y,UniX,UniY,centroid size 
100,-5.16E-04,8.92E-04,2.34E-03,1.36E-03,-8.17E-03,-3.05E-03,-1.84E-03,1.43E-03,5.08E-03,1.42E-03,1.63E-03,4.07E-04,-1.19E-02,1.38E-04,-3.52E-03,2.21E-03,2.26E-03,3.87E-03,1.11E-02,1.20E-03,-4.49E-03,9.34E-04,-7.80E-03,2.03E-03,5.01E-03,7.73E-03,-8.40E-03,6.90E-03,2.30E-03,-1.25E-03,3.20E-03,1.58E-03,-6.17E-03,-1.72E-02,1.80E-02,-7.49E-03,4.54E+01
110,1.12E-03,6.32E-06,4.24E-03,-6.49E-03,4.32E-03,1.47E-05,2.07E-03,-2.91E-03,4.96E-03,-2.81E-03,-1.44E-03,-1.73E-03,-7.28E-03,6.73E-03,2.34E-03,-1.37E-03,3.54E-03,-4.96E-03,1.33E-02,-8.32E-04,-6.25E-03,-4.42E-03,-1.48E-02,-3.19E-03,1.24E-02,4.52E-04,6.92E-03,-5.63E-04,6.14E-03,-7.11E-03,1.54E-02,7.63E-03,-7.33E-03,-7.80E-03,3.20E-03,-2.25E-02,4.56E+01
200,-3.29E-04,-3.76E-03,5.10E-03,-1.94E-04,3.85E-03,7.72E-03,4.79E-03,2.46E-03,7.00E-03,-2.05E-03,7.67E-03,-2.03E-03,4.57E-04,6.54E-04,-1.81E-03,3.69E-03,7.86E-03,-2.74E-04,-2.10E-02,-2.74E-03,-3.99E-03,2.85E-03,-1.20E-02,5.52E-03,4.13E-03,-2.58E-04,2.55E-03,-2.67E-03,3.55E-03,-1.73E-03,3.83E-03,-7.36E-03,-1.42E-03,-5.15E-03,1.36E-02,-1.60E-04,4.48E+01
111,-6.12E-04,1.35E-03,5.96E-03,-4.51E-03,6.08E-04,-6.13E-03,-2.08E-03,-1.07E-03,9.15E-03,-6.82E-03,1.28E-02,-4.17E-03,9.45E-04,3.94E-03,-6.76E-03,1.91E-03,2.06E-02,-3.58E-03,-2.68E-02,2.75E-03,-6.75E-03,-3.88E-03,-2.51E-03,-2.90E-03,-1.55E-02,-9.76E-03,1.16E-03,2.08E-03,2.78E-03,-1.31E-02,5.26E-03,-3.56E-03,-1.64E-02,-1.33E-02,-1.33E-02,1.74E-03,4.55E+01
112,-7.29E-05,1.44E-03,5.16E-03,-2.00E-03,-5.05E-03,4.36E-03,-4.51E-03,7.47E-03,8.04E-03,-2.47E-04,1.97E-03,-5.91E-04,-1.80E-02,3.61E-03,3.48E-03,1.71E-03,-2.04E-03,6.23E-03,5.12E-04,4.85E-03,1.55E-03,1.73E-03,-6.76E-03,3.82E-03,8.29E-03,1.76E-05,-1.69E-02,-2.23E-03,4.47E-03,-9.72E-03,-1.88E-03,6.16E-03,-3.73E-03,-1.55E-02,1.99E-02,-5.19E-03,4.44E+01
113,-6.67E-04,-4.20E-04,2.61E-03,-2.82E-03,-1.58E-03,-3.44E-03,-7.70E-03,3.61E-03,2.61E-03,4.21E-04,8.32E-04,1.34E-04,-9.98E-03,7.90E-04,3.46E-04,-2.65E-03,1.11E-03,2.42E-03,2.27E-03,5.92E-04,-8.34E-03,1.56E-03,6.24E-04,4.90E-03,-5.18E-03,-1.72E-03,-1.02E-02,5.63E-03,4.84E-03,-1.78E-03,3.86E-03,9.66E-03,-9.55E-05,1.95E-03,1.20E-02,-1.58E-02,4.47E+01
114,-8.00E-04,-4.61E-04,1.36E-04,-1.34E-04,-2.01E-03,-5.15E-03,-5.76E-03,6.35E-03,-1.90E-04,7.40E-04,-9.10E-04,1.07E-03,-6.82E-03,3.71E-03,9.30E-04,2.19E-03,-2.97E-03,-4.36E-04,7.99E-03,1.55E-03,-1.48E-03,-2.39E-03,4.67E-03,-8.71E-04,-2.76E-03,-8.25E-04,-7.81E-03,9.82E-04,3.64E-03,4.58E-04,5.22E-04,-3.49E-04,-1.35E-03,1.47E-02,4.75E-03,2.88E-03,4.50E+01
115,-1.20E-03,1.83E-03,-1.04E-03,1.26E-03,-2.16E-03,-2.59E-03,-4.08E-03,-5.65E-03,-2.20E-03,-1.29E-03,5.95E-03,-3.23E-03,4.47E-03,2.16E-03,-5.28E-04,-2.30E-03,2.82E-03,2.74E-03,-5.10E-03,4.99E-04,-9.03E-03,1.11E-03,5.61E-03,7.64E-03,-1.24E-02,-2.42E-03,-4.16E-03,9.73E-05,-9.75E-03,1.14E-02,-1.63E-02,5.12E-03,-1.40E-02,-1.51E-03,-7.69E-03,1.42E-02,4.59E+01
116,-5.63E-05,-6.47E-04,-4.33E-03,2.20E-03,-2.32E-03,-2.56E-03,-5.47E-03,5.51E-03,-8.10E-03,3.33E-03,-3.27E-03,1.19E-03,9.33E-03,-3.79E-03,1.32E-02,-1.74E-03,-3.77E-03,4.63E-03,2.97E-03,-2.22E-03,-5.59E-03,2.64E-03,7.77E-03,9.31E-04,-1.27E-02,-6.22E-03,4.31E-03,-6.14E-03,-3.51E-03,-4.85E-04,-9.79E-03,8.35E-03,5.72E-03,-8.69E-03,-1.68E-02,-3.54E-03,4.58E+01
117,-2.94E-04,9.50E-04,-2.53E-03,1.77E-03,-1.58E-03,-5.82E-03,2.99E-03,3.67E-03,-4.59E-03,2.96E-03,6.86E-04,5.44E-03,1.77E-03,1.24E-03,-1.26E-03,1.82E-03,-7.73E-04,-2.57E-03,4.69E-03,1.86E-03,-4.60E-03,-6.33E-04,1.45E-02,-1.79E-03,-1.64E-02,-2.86E-03,1.13E-03,3.29E-03,7.70E-03,-1.48E-03,-4.24E-03,-5.59E-03,7.39E-04,7.86E-03,-4.11E-03,-4.65E-03,4.54E+01
