go_id	name	namespace	study_k	study_n	bg_K	bg_N	fold_enrichment	p_value	fdr	phenotype	genes
GO:0005344	oxygen carrier activity	molecular_function	18	924	41	34268	16.28	5.443e-18	1.660e-15	Y	LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565
GO:0005833	hemoglobin complex	cellular_component	18	924	41	34268	16.28	5.443e-18	1.660e-15		LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565
GO:0031720	haptoglobin binding	molecular_function	18	924	41	34268	16.28	5.443e-18	1.660e-15		LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565
GO:0031838	haptoglobin-hemoglobin complex	cellular_component	18	924	41	34268	16.28	5.443e-18	1.660e-15		LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565
GO:0015671	oxygen transport	biological_process	18	924	46	34268	14.51	6.688e-17	1.632e-14	Y	LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565
GO:0019825	oxygen binding	molecular_function	18	924	51	34268	13.09	5.832e-16	1.186e-13	Y	LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565
GO:0015669	gas transport	biological_process	18	924	52	34268	12.84	8.696e-16	1.516e-13		LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565
GO:0042743	hydrogen peroxide metabolic process	biological_process	18	924	53	34268	12.6	1.284e-15	1.740e-13		LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565
GO:0042744	hydrogen peroxide catabolic process	biological_process	18	924	53	34268	12.6	1.284e-15	1.740e-13		LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565
GO:0072593	reactive oxygen species metabolic process	biological_process	20	924	86	34268	8.62	1.152e-13	1.406e-11	Y	LOC120027734,LOC120031281,LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565
GO:0072562	blood microparticle	cellular_component	18	924	67	34268	9.96	1.305e-13	1.448e-11		LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565
GO:0004601	peroxidase activity	molecular_function	18	924	90	34268	7.42	2.951e-11	2.944e-09		LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565
GO:0045179	apical cortex	cellular_component	9	924	15	34268	22.25	3.137e-11	2.944e-09		LOC120035949,LOC120036775,LOC120038021,LOC120038024,LOC120043108,LOC120043109,LOC120043110,LOC120047173,LOC120047327
GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	molecular_function	18	924	97	34268	6.88	1.096e-10	9.549e-09		LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565
GO:0016209	antioxidant activity	molecular_function	18	924	105	34268	6.36	4.272e-10	3.474e-08		LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565
GO:0140104	molecular carrier activity	molecular_function	25	924	225	34268	4.12	2.670e-09	2.036e-07		LOC120028853,LOC120032565,LOC120032611,LOC120032787,LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565,LOC120038029,LOC120048357,LOC120050578
GO:0020037	heme binding	molecular_function	25	924	239	34268	3.88	9.195e-09	6.599e-07		LOC120031281,LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565,LOC120035602,LOC120039609,LOC120042124,LOC120042131,LOC120044844,LOC120048801
GO:0046906	tetrapyrrole binding	molecular_function	25	924	243	34268	3.82	1.286e-08	8.715e-07		LOC120031281,LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565,LOC120035602,LOC120039609,LOC120042124,LOC120042131,LOC120044844,LOC120048801
GO:0043177	organic acid binding	molecular_function	21	924	197	34268	3.95	1.006e-07	6.459e-06		LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565,LOC120042862,LOC120048724,LOC120051445
GO:0099568	cytoplasmic region	cellular_component	11	924	60	34268	6.8	5.296e-07	3.077e-05		LOC120035949,LOC120036775,LOC120038021,LOC120038024,LOC120043108,LOC120043109,LOC120043110,LOC120047173,LOC120047327,rims1b,rims2a
GO:0099738	cell cortex region	cellular_component	11	924	60	34268	6.8	5.296e-07	3.077e-05		LOC120035949,LOC120036775,LOC120038021,LOC120038024,LOC120043108,LOC120043109,LOC120043110,LOC120047173,LOC120047327,rims1b,rims2a
GO:0005245	voltage-gated calcium channel activity	molecular_function	11	924	84	34268	4.86	1.595e-05	8.846e-04		LOC120023380,LOC120032361,LOC120032372,LOC120032395,LOC120034271,LOC120034351,LOC120035028,LOC120036666,LOC120040628,LOC120041637,LOC120047712
GO:0005576	extracellular region	cellular_component	55	924	1220	34268	1.67	1.617e-04	8.578e-03		LOC120017348,LOC120024764,LOC120029189,LOC120031138,LOC120031295,LOC120032118,LOC120032520,LOC120034040,LOC120034041,LOC120034042,LOC120034130,LOC120034143,LOC120034207,LOC120034211,LOC120034256,LOC120034257,LOC120034258,LOC120034259,LOC120034260,LOC120034368,LOC120034390,LOC120034464,LOC120034563,LOC120034564,LOC120034565
GO:0006816	calcium ion transport	biological_process	17	924	230	34268	2.74	1.863e-04	9.471e-03	Y	LOC120023380,LOC120024697,LOC120032125,LOC120032361,LOC120032372,LOC120032395,LOC120034271,LOC120034351,LOC120035028,LOC120036666,LOC120040198,LOC120040628,LOC120041637,LOC120047712,LOC120051648,slc24a5,slc8a2b
GO:0009056	catabolic process	biological_process	66	924	1594	34268	1.54	4.055e-04	1.948e-02		LOC120017705,LOC120017880,LOC120018827,LOC120019732,LOC120023431,LOC120025220,LOC120026446,LOC120028660,LOC120028813,LOC120028888,LOC120031228,LOC120031308,LOC120031369,LOC120031382,LOC120031389,LOC120031496,LOC120032113,LOC120032839,LOC120033335,LOC120034040,LOC120034041,LOC120034042,LOC120034075,LOC120034130,LOC120034143
GO:0048880	sensory system development	biological_process	13	924	161	34268	2.99	4.472e-04	1.948e-02		LOC120030692,LOC120033014,LOC120034426,LOC120041978,LOC120043662,LOC120050560,LOC120050565,LOC120050566,LOC120050580,LOC120050862,LOC120050864,LOC120050865,crybgx
GO:0150063	visual system development	biological_process	13	924	161	34268	2.99	4.472e-04	1.948e-02		LOC120030692,LOC120033014,LOC120034426,LOC120041978,LOC120043662,LOC120050560,LOC120050565,LOC120050566,LOC120050580,LOC120050862,LOC120050864,LOC120050865,crybgx
GO:0001654	eye development	biological_process	13	924	161	34268	2.99	4.472e-04	1.948e-02		LOC120030692,LOC120033014,LOC120034426,LOC120041978,LOC120043662,LOC120050560,LOC120050565,LOC120050566,LOC120050580,LOC120050862,LOC120050864,LOC120050865,crybgx
GO:0019724	B cell mediated immunity	biological_process	6	924	39	34268	5.71	5.768e-04	2.270e-02		LOC120018157,LOC120032458,LOC120034230,LOC120036770,LOC120036924,LOC120037498
