go_id	name	namespace	study_k	study_n	bg_K	bg_N	fold_enrichment	p_value	fdr	phenotype	genes
GO:0015031	protein transport	biological_process	3	91	861	34268	1.31	4.014e-01	4.920e-01		LOC120056503,ap2b1,cracr2b
GO:0009056	catabolic process	biological_process	5	91	1594	34268	1.18	4.177e-01	5.081e-01		LOC120028089,LOC120056503,bco2a,dnase1l1l,smg6
GO:0010646	regulation of cell communication	biological_process	5	91	1629	34268	1.16	4.361e-01	5.259e-01		LOC120020307,LOC120032530,LOC120034415,LOC120053194,iqsec3a
GO:0023051	regulation of signaling	biological_process	5	91	1634	34268	1.15	4.388e-01	5.259e-01		LOC120020307,LOC120032530,LOC120034415,LOC120053194,iqsec3a
GO:0051128	regulation of cellular component organization	biological_process	3	91	926	34268	1.22	4.474e-01	5.323e-01		LOC120019576,LOC120020307,LOC120040412
GO:0043933	protein-containing complex organization	biological_process	3	91	968	34268	1.17	4.764e-01	5.587e-01		LOC120040161,LOC120050135,crtc3
GO:0045184	establishment of protein localization	biological_process	3	91	968	34268	1.17	4.764e-01	5.587e-01		LOC120056503,ap2b1,cracr2b
GO:0034654	nucleobase-containing compound biosynthetic process	biological_process	4	91	1369	34268	1.1	4.952e-01	5.765e-01		LOC120030386,LOC120038469,LOC120054763,LOC120065442
GO:0009893	positive regulation of metabolic process	biological_process	4	91	1385	34268	1.09	5.043e-01	5.796e-01		LOC120053194,crtc3,ptprc,sh2d3a
GO:0009966	regulation of signal transduction	biological_process	4	91	1386	34268	1.09	5.049e-01	5.796e-01		LOC120032530,LOC120034415,LOC120053194,iqsec3a
GO:0009653	anatomical structure morphogenesis	biological_process	3	91	1017	34268	1.11	5.094e-01	5.806e-01		LOC120020307,LOC120040412,LOC120056805
GO:0042221	response to chemical	biological_process	3	91	1045	34268	1.08	5.277e-01	5.973e-01		LOC120028089,LOC120060868,cracr2b
GO:0006629	lipid metabolic process	biological_process	3	91	1059	34268	1.07	5.367e-01	6.034e-01	Y	LOC120028089,bco2a,gde1
GO:0035556	intracellular signal transduction	biological_process	4	91	1456	34268	1.03	5.440e-01	6.074e-01		LOC120030672,LOC120042766,LOC120065085,sh2d3a
GO:0065008	regulation of biological quality	biological_process	4	91	1488	34268	1.01	5.614e-01	6.225e-01		LOC120019576,LOC120040412,LOC120062883,cracr2b
GO:0017111	ribonucleoside triphosphate phosphatase activity	molecular_function	3	91	1122	34268	1.01	5.762e-01	6.346e-01		LOC120064465,cracr2b,dnah2
GO:0051649	establishment of localization in cell	biological_process	4	91	1562	34268	0.96	6.002e-01	6.566e-01		LOC120020198,LOC120056503,ap2b1,vps50
GO:0016462	pyrophosphatase activity	molecular_function	3	91	1207	34268	0.94	6.260e-01	6.729e-01		LOC120064465,cracr2b,dnah2
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	molecular_function	3	91	1215	34268	0.93	6.305e-01	6.729e-01		LOC120064465,cracr2b,dnah2
GO:0010604	positive regulation of macromolecule metabolic process	biological_process	3	91	1217	34268	0.93	6.316e-01	6.729e-01		crtc3,ptprc,sh2d3a
GO:0016817	hydrolase activity, acting on acid anhydrides	molecular_function	3	91	1217	34268	0.93	6.316e-01	6.729e-01		LOC120064465,cracr2b,dnah2
