set	group	go_id	name	fold_enrichment	study_k	fdr	genes
cnv	calcium	GO:0008048	calcium sensitive guanylate cyclase activator activity	5.96	3	1.584e-01	LOC120053171,LOC120053182,LOC120057055
lean_only	calcium	GO:0005245	voltage-gated calcium channel activity	4.86	11	8.846e-04	LOC120023380,LOC120032361,LOC120032372,LOC120032395,LOC120034271,LOC120034351,LOC120035028,LOC120036666,LOC120040628,LOC120041637,LOC120047712
lean_only	calcium	GO:0006816	calcium ion transport	2.74	17	9.471e-03	LOC120023380,LOC120024697,LOC120032125,LOC120032361,LOC120032372,LOC120032395,LOC120034271,LOC120034351,LOC120035028,LOC120036666,LOC120040198,LOC120040628,LOC120041637,LOC120047712,LOC120051648,slc24a5,slc8a2b
lean_only	calcium	GO:0005262	calcium channel activity	2.72	14	2.754e-02	LOC120023380,LOC120024697,LOC120032361,LOC120032372,LOC120032395,LOC120034271,LOC120034351,LOC120035028,LOC120036666,LOC120040198,LOC120040628,LOC120041637,LOC120047712,slc24a5
lean_only	calcium	GO:0015085	calcium ion transmembrane transporter activity	2.5	16	2.754e-02	LOC120023380,LOC120024697,LOC120032125,LOC120032361,LOC120032372,LOC120032395,LOC120034271,LOC120034351,LOC120035028,LOC120036666,LOC120040198,LOC120040628,LOC120041637,LOC120047712,slc24a5,slc8a2b
lean_only	calcium	GO:0005891	voltage-gated calcium channel complex	3.66	7	5.463e-02	LOC120023380,LOC120032361,LOC120032395,LOC120034271,LOC120034351,LOC120036666,LOC120041637
lean_only	calcium	GO:0070588	calcium ion transmembrane transport	2.42	12	7.069e-02	LOC120023380,LOC120032125,LOC120032361,LOC120032395,LOC120034271,LOC120034351,LOC120035028,LOC120036666,LOC120040198,LOC120041637,slc24a5,slc8a2b
lean_only	calcium	GO:0008331	high voltage-gated calcium channel activity	4.24	4	1.678e-01	LOC120023380,LOC120034271,LOC120034351,LOC120036666
lean_only	calcium	GO:0034704	calcium channel complex	2.73	7	1.694e-01	LOC120023380,LOC120032361,LOC120032395,LOC120034271,LOC120034351,LOC120036666,LOC120041637
lean_only	calcium	GO:0097553	calcium ion transmembrane import into cytosol	3.14	5	2.130e-01	LOC120023380,LOC120034271,LOC120035028,LOC120036666,slc8a2b
lean_only	calcium	GO:0070509	calcium ion import	3.14	5	2.130e-01	LOC120023380,LOC120034271,LOC120036666,LOC120041637,slc8a2b
lean_only	calcium	GO:1901385	regulation of voltage-gated calcium channel activity	4.45	3	2.483e-01	LOC120031470,LOC120033963,LOC120034351
reciprocal_pav	calcium	GO:0005509	calcium ion binding	2.4	8	9.108e-02	LOC120020307,LOC120025009,LOC120030672,LOC120045058,LOC120049548,LOC120060868,cracr2b,pros1
