go_id	name	namespace	study_k	study_n	bg_K	bg_N	fold_enrichment	p_value	fdr	phenotype	genes
GO:0015085	calcium ion transmembrane transporter activity	molecular_function	23	945	237	34268	3.52	2.106e-07	2.561e-04		LOC120019322,LOC120019396,LOC120020225,LOC120020235,LOC120020369,LOC120023897,LOC120035599,LOC120037668,LOC120040198,LOC120041637,LOC120044082,LOC120045655,LOC120056831,LOC120061615,LOC120063037,LOC120063766,LOC120063904,LOC120066590,LOC120066624,cacna2d3a,mcu,ryr1b,slc24a5
GO:0070588	calcium ion transmembrane transport	biological_process	19	945	184	34268	3.74	9.221e-07	5.607e-04		LOC120019322,LOC120019396,LOC120020225,LOC120023897,LOC120035599,LOC120037668,LOC120040198,LOC120041637,LOC120044082,LOC120045655,LOC120056831,LOC120061615,LOC120063037,LOC120063766,LOC120063904,LOC120066624,mcu,ryr1b,slc24a5
GO:0031175	neuron projection development	biological_process	33	945	509	34268	2.35	6.443e-06	2.612e-03		LOC120020574,LOC120022048,LOC120023487,LOC120023518,LOC120027965,LOC120028305,LOC120028485,LOC120029338,LOC120033173,LOC120033391,LOC120034101,LOC120036133,LOC120036309,LOC120039491,LOC120040412,LOC120040415,LOC120041781,LOC120050435,LOC120050489,LOC120052232,LOC120053667,LOC120053918,LOC120057208,LOC120059535,LOC120061638
GO:0034704	calcium channel complex	cellular_component	12	945	95	34268	4.58	1.208e-05	2.977e-03		LOC120019396,LOC120020369,LOC120035599,LOC120037668,LOC120041637,LOC120044082,LOC120061615,LOC120063766,LOC120066590,cacna2d3a,mcu,ryr1b
GO:0048666	neuron development	biological_process	34	945	555	34268	2.22	1.541e-05	2.977e-03		LOC120018906,LOC120020574,LOC120022048,LOC120023487,LOC120023518,LOC120027965,LOC120028305,LOC120028485,LOC120029338,LOC120033173,LOC120033391,LOC120034101,LOC120036133,LOC120036309,LOC120039491,LOC120040412,LOC120040415,LOC120041781,LOC120050435,LOC120050489,LOC120052232,LOC120053667,LOC120053918,LOC120057208,LOC120059535
GO:0048858	cell projection morphogenesis	biological_process	27	945	399	34268	2.45	2.068e-05	2.977e-03		LOC120020574,LOC120022048,LOC120023487,LOC120027965,LOC120028305,LOC120028485,LOC120029338,LOC120033173,LOC120036133,LOC120036309,LOC120040412,LOC120040415,LOC120041781,LOC120050435,LOC120050489,LOC120053918,LOC120057208,LOC120059535,LOC120061638,LOC120062414,LOC120062749,LOC120064270,LOC120065502,aplp2,epha3
GO:0120039	plasma membrane bounded cell projection morphogenesis	biological_process	27	945	399	34268	2.45	2.068e-05	2.977e-03		LOC120020574,LOC120022048,LOC120023487,LOC120027965,LOC120028305,LOC120028485,LOC120029338,LOC120033173,LOC120036133,LOC120036309,LOC120040412,LOC120040415,LOC120041781,LOC120050435,LOC120050489,LOC120053918,LOC120057208,LOC120059535,LOC120061638,LOC120062414,LOC120062749,LOC120064270,LOC120065502,aplp2,epha3
GO:0048812	neuron projection morphogenesis	biological_process	27	945	399	34268	2.45	2.068e-05	2.977e-03		LOC120020574,LOC120022048,LOC120023487,LOC120027965,LOC120028305,LOC120028485,LOC120029338,LOC120033173,LOC120036133,LOC120036309,LOC120040412,LOC120040415,LOC120041781,LOC120050435,LOC120050489,LOC120053918,LOC120057208,LOC120059535,LOC120061638,LOC120062414,LOC120062749,LOC120064270,LOC120065502,aplp2,epha3
GO:0006816	calcium ion transport	biological_process	19	945	230	34268	3.0	2.387e-05	2.977e-03	Y	LOC120019322,LOC120019396,LOC120020225,LOC120023897,LOC120035599,LOC120037668,LOC120040198,LOC120041637,LOC120044082,LOC120045655,LOC120056831,LOC120061615,LOC120063037,LOC120063766,LOC120063904,LOC120066624,mcu,ryr1b,slc24a5
GO:0005262	calcium channel activity	molecular_function	17	945	191	34268	3.23	2.448e-05	2.977e-03		LOC120019322,LOC120019396,LOC120020369,LOC120023897,LOC120035599,LOC120037668,LOC120040198,LOC120041637,LOC120044082,LOC120061615,LOC120063766,LOC120063904,LOC120066590,cacna2d3a,mcu,ryr1b,slc24a5
GO:0008381	mechanosensitive monoatomic ion channel activity	molecular_function	6	945	24	34268	9.07	3.806e-05	4.208e-03		LOC120024918,LOC120039812,LOC120041370,LOC120042828,LOC120063904,tmc6b
GO:0048667	cell morphogenesis involved in neuron differentiation	biological_process	24	945	355	34268	2.45	5.920e-05	5.999e-03		LOC120020574,LOC120022048,LOC120023487,LOC120028305,LOC120028485,LOC120029338,LOC120033173,LOC120036133,LOC120036309,LOC120040412,LOC120040415,LOC120041781,LOC120050435,LOC120050489,LOC120053918,LOC120057208,LOC120059535,LOC120061638,LOC120062414,LOC120062749,LOC120065502,aplp2,epha3,si:dkey-246i14.3
GO:0097485	neuron projection guidance	biological_process	20	945	273	34268	2.66	8.062e-05	6.701e-03		LOC120020574,LOC120022048,LOC120023487,LOC120028485,LOC120033173,LOC120036133,LOC120036309,LOC120040412,LOC120040415,LOC120041781,LOC120050435,LOC120053918,LOC120057208,LOC120059535,LOC120061638,LOC120062414,LOC120062749,LOC120065502,epha3,si:dkey-246i14.3
GO:0007411	axon guidance	biological_process	20	945	273	34268	2.66	8.062e-05	6.701e-03		LOC120020574,LOC120022048,LOC120023487,LOC120028485,LOC120033173,LOC120036133,LOC120036309,LOC120040412,LOC120040415,LOC120041781,LOC120050435,LOC120053918,LOC120057208,LOC120059535,LOC120061638,LOC120062414,LOC120062749,LOC120065502,epha3,si:dkey-246i14.3
GO:0048699	generation of neurons	biological_process	40	945	759	34268	1.91	8.608e-05	6.701e-03		LOC120018906,LOC120020574,LOC120022048,LOC120023487,LOC120023518,LOC120024355,LOC120027965,LOC120028305,LOC120028485,LOC120029338,LOC120033173,LOC120033391,LOC120034101,LOC120036133,LOC120036212,LOC120036309,LOC120037817,LOC120039491,LOC120040412,LOC120040415,LOC120041620,LOC120041781,LOC120050435,LOC120050489,LOC120052232
GO:0048468	cell development	biological_process	45	945	892	34268	1.83	8.817e-05	6.701e-03		LOC120018906,LOC120020574,LOC120022048,LOC120022751,LOC120023487,LOC120023518,LOC120027965,LOC120028305,LOC120028485,LOC120029338,LOC120031821,LOC120033173,LOC120033391,LOC120034101,LOC120036133,LOC120036309,LOC120037817,LOC120037876,LOC120037969,LOC120039491,LOC120039678,LOC120040412,LOC120040415,LOC120041620,LOC120041781
