go_id	name	namespace	study_k	study_n	bg_K	bg_N	fold_enrichment	p_value	fdr	phenotype	genes
GO:0030527	structural constituent of chromatin	molecular_function	6	30	65	34268	105.44	2.106e-11	5.639e-10		LOC120017932,LOC120017961,LOC120017972,LOC120018007,LOC120018068,LOC120027990
GO:0000786	nucleosome	cellular_component	6	30	71	34268	96.53	3.638e-11	5.639e-10		LOC120017932,LOC120017961,LOC120017972,LOC120018007,LOC120018068,LOC120027990
GO:0032993	protein-DNA complex	cellular_component	6	30	133	34268	51.53	1.678e-09	1.734e-08		LOC120017932,LOC120017961,LOC120017972,LOC120018007,LOC120018068,LOC120027990
GO:0000785	chromatin	cellular_component	6	30	432	34268	15.86	1.782e-06	1.381e-05		LOC120017932,LOC120017961,LOC120017972,LOC120018007,LOC120018068,LOC120027990
GO:0006334	nucleosome assembly	biological_process	3	30	39	34268	87.87	5.416e-06	3.358e-05		LOC120017932,LOC120017961,LOC120018068
GO:0046982	protein heterodimerization activity	molecular_function	4	30	154	34268	29.67	9.814e-06	4.807e-05		LOC120017972,LOC120018007,LOC120018068,LOC120027990
GO:0034728	nucleosome organization	biological_process	3	30	49	34268	69.93	1.085e-05	4.807e-05		LOC120017932,LOC120017961,LOC120018068
GO:0005694	chromosome	cellular_component	6	30	703	34268	9.75	2.847e-05	1.018e-04		LOC120017932,LOC120017961,LOC120017972,LOC120018007,LOC120018068,LOC120027990
GO:0001217	DNA-binding transcription repressor activity	molecular_function	3	30	71	34268	48.26	3.324e-05	1.018e-04		LOC120032412,LOC120032414,LOC120039524
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	molecular_function	3	30	71	34268	48.26	3.324e-05	1.018e-04		LOC120032412,LOC120032414,LOC120039524
GO:0065004	protein-DNA complex assembly	biological_process	3	30	73	34268	46.94	3.613e-05	1.018e-04		LOC120017932,LOC120017961,LOC120018068
GO:0071824	protein-DNA complex organization	biological_process	3	30	84	34268	40.8	5.499e-05	1.421e-04		LOC120017932,LOC120017961,LOC120018068
GO:0005198	structural molecule activity	molecular_function	6	30	953	34268	7.19	1.527e-04	3.640e-04		LOC120017932,LOC120017961,LOC120017972,LOC120018007,LOC120018068,LOC120027990
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	molecular_function	3	30	156	34268	21.97	3.433e-04	7.094e-04		LOC120032412,LOC120032414,LOC120051555
GO:0001216	DNA-binding transcription activator activity	molecular_function	3	30	156	34268	21.97	3.433e-04	7.094e-04		LOC120032412,LOC120032414,LOC120051555
GO:0006338	chromatin remodeling	biological_process	3	30	205	34268	16.72	7.603e-04	1.473e-03		LOC120017932,LOC120017961,LOC120018068
GO:0046983	protein dimerization activity	molecular_function	4	30	573	34268	7.97	1.501e-03	2.738e-03		LOC120017972,LOC120018007,LOC120018068,LOC120027990
GO:0006325	chromatin organization	biological_process	3	30	270	34268	12.69	1.678e-03	2.890e-03		LOC120017932,LOC120017961,LOC120018068
GO:0000122	negative regulation of transcription by RNA polymerase II	biological_process	3	30	398	34268	8.61	5.003e-03	8.162e-03		LOC120032412,LOC120032414,LOC120039524
GO:1902679	negative regulation of RNA biosynthetic process	biological_process	3	30	510	34268	6.72	9.873e-03	1.457e-02		LOC120032412,LOC120032414,LOC120039524
GO:0045892	negative regulation of DNA-templated transcription	biological_process	3	30	510	34268	6.72	9.873e-03	1.457e-02		LOC120032412,LOC120032414,LOC120039524
GO:0051253	negative regulation of RNA metabolic process	biological_process	3	30	538	34268	6.37	1.141e-02	1.607e-02		LOC120032412,LOC120032414,LOC120039524
GO:0045934	negative regulation of nucleobase-containing compound metabolic process	biological_process	3	30	563	34268	6.09	1.288e-02	1.737e-02		LOC120032412,LOC120032414,LOC120039524
GO:0010558	negative regulation of macromolecule biosynthetic process	biological_process	3	30	824	34268	4.16	3.475e-02	4.488e-02		LOC120032412,LOC120032414,LOC120039524
GO:0009890	negative regulation of biosynthetic process	biological_process	3	30	842	34268	4.07	3.669e-02	4.533e-02		LOC120032412,LOC120032414,LOC120039524
GO:0065003	protein-containing complex assembly	biological_process	3	30	854	34268	4.01	3.802e-02	4.533e-02		LOC120017932,LOC120017961,LOC120018068
GO:0043933	protein-containing complex organization	biological_process	3	30	968	34268	3.54	5.184e-02	5.952e-02		LOC120017932,LOC120017961,LOC120018068
GO:0010605	negative regulation of macromolecule metabolic process	biological_process	3	30	1033	34268	3.32	6.069e-02	6.719e-02		LOC120032412,LOC120032414,LOC120039524
GO:0009892	negative regulation of metabolic process	biological_process	3	30	1083	34268	3.16	6.795e-02	7.264e-02		LOC120032412,LOC120032414,LOC120039524
GO:0022607	cellular component assembly	biological_process	3	30	1775	34268	1.93	2.016e-01	2.083e-01		LOC120017932,LOC120017961,LOC120018068
GO:0044085	cellular component biogenesis	biological_process	3	30	1994	34268	1.72	2.527e-01	2.527e-01		LOC120017932,LOC120017961,LOC120018068
