go_id	name	namespace	study_k	study_n	bg_K	bg_N	fold_enrichment	p_value	fdr	phenotype	genes
GO:0015085	calcium ion transmembrane transporter activity	molecular_function	23	972	237	34268	3.42	3.442e-07	4.223e-04		LOC120019322,LOC120019396,LOC120020225,LOC120020235,LOC120020369,LOC120023897,LOC120035599,LOC120037668,LOC120040198,LOC120041637,LOC120044082,LOC120045655,LOC120056831,LOC120061615,LOC120063037,LOC120063766,LOC120063904,LOC120066590,LOC120066624,cacna2d3a,mcu,ryr1b,slc24a5
GO:0070588	calcium ion transmembrane transport	biological_process	19	972	184	34268	3.64	1.396e-06	8.567e-04		LOC120019322,LOC120019396,LOC120020225,LOC120023897,LOC120035599,LOC120037668,LOC120040198,LOC120041637,LOC120044082,LOC120045655,LOC120056831,LOC120061615,LOC120063037,LOC120063766,LOC120063904,LOC120066624,mcu,ryr1b,slc24a5
GO:0031175	neuron projection development	biological_process	33	972	509	34268	2.29	1.145e-05	4.285e-03		LOC120020574,LOC120022048,LOC120023487,LOC120023518,LOC120027965,LOC120028305,LOC120028485,LOC120029338,LOC120033173,LOC120033391,LOC120034101,LOC120036133,LOC120036309,LOC120039491,LOC120040412,LOC120040415,LOC120041781,LOC120050435,LOC120050489,LOC120052232,LOC120053667,LOC120053918,LOC120057208,LOC120059535,LOC120061638
GO:0034704	calcium channel complex	cellular_component	12	972	95	34268	4.45	1.597e-05	4.285e-03		LOC120019396,LOC120020369,LOC120035599,LOC120037668,LOC120041637,LOC120044082,LOC120061615,LOC120063766,LOC120066590,cacna2d3a,mcu,ryr1b
GO:0048666	neuron development	biological_process	34	972	555	34268	2.16	2.723e-05	4.285e-03		LOC120018906,LOC120020574,LOC120022048,LOC120023487,LOC120023518,LOC120027965,LOC120028305,LOC120028485,LOC120029338,LOC120033173,LOC120033391,LOC120034101,LOC120036133,LOC120036309,LOC120039491,LOC120040412,LOC120040415,LOC120041781,LOC120050435,LOC120050489,LOC120052232,LOC120053667,LOC120053918,LOC120057208,LOC120059535
GO:0048858	cell projection morphogenesis	biological_process	27	972	399	34268	2.39	3.358e-05	4.285e-03		LOC120020574,LOC120022048,LOC120023487,LOC120027965,LOC120028305,LOC120028485,LOC120029338,LOC120033173,LOC120036133,LOC120036309,LOC120040412,LOC120040415,LOC120041781,LOC120050435,LOC120050489,LOC120053918,LOC120057208,LOC120059535,LOC120061638,LOC120062414,LOC120062749,LOC120064270,LOC120065502,aplp2,epha3
GO:0120039	plasma membrane bounded cell projection morphogenesis	biological_process	27	972	399	34268	2.39	3.358e-05	4.285e-03		LOC120020574,LOC120022048,LOC120023487,LOC120027965,LOC120028305,LOC120028485,LOC120029338,LOC120033173,LOC120036133,LOC120036309,LOC120040412,LOC120040415,LOC120041781,LOC120050435,LOC120050489,LOC120053918,LOC120057208,LOC120059535,LOC120061638,LOC120062414,LOC120062749,LOC120064270,LOC120065502,aplp2,epha3
GO:0048812	neuron projection morphogenesis	biological_process	27	972	399	34268	2.39	3.358e-05	4.285e-03		LOC120020574,LOC120022048,LOC120023487,LOC120027965,LOC120028305,LOC120028485,LOC120029338,LOC120033173,LOC120036133,LOC120036309,LOC120040412,LOC120040415,LOC120041781,LOC120050435,LOC120050489,LOC120053918,LOC120057208,LOC120059535,LOC120061638,LOC120062414,LOC120062749,LOC120064270,LOC120065502,aplp2,epha3
GO:0005262	calcium channel activity	molecular_function	17	972	191	34268	3.14	3.481e-05	4.285e-03		LOC120019322,LOC120019396,LOC120020369,LOC120023897,LOC120035599,LOC120037668,LOC120040198,LOC120041637,LOC120044082,LOC120061615,LOC120063766,LOC120063904,LOC120066590,cacna2d3a,mcu,ryr1b,slc24a5
GO:0006816	calcium ion transport	biological_process	19	972	230	34268	2.91	3.493e-05	4.285e-03	Y	LOC120019322,LOC120019396,LOC120020225,LOC120023897,LOC120035599,LOC120037668,LOC120040198,LOC120041637,LOC120044082,LOC120045655,LOC120056831,LOC120061615,LOC120063037,LOC120063766,LOC120063904,LOC120066624,mcu,ryr1b,slc24a5
